seller_city,period,sales,freight_value,total_sales,quantity,volume,baskets
cariacica,2017-01-01,1098.9,196.5,1295.4,11,97.625,5
cariacica,2017-02-01,1676.7,447.3,2124,17,152.525,11
cariacica,2017-03-01,1847.2,396.02,2243.22,16,140.575,14
cariacica,2017-04-01,2774.99,1008.67,3783.66,27,243.5,24
cariacica,2017-05-01,2302.49,804.6,3107.09,23,204.575,22
cariacica,2017-06-01,2483.95,1052.08,3536.03,25,232.375,21
cariacica,2017-07-01,1244,465.54,1709.54,12,110.425,11
cariacica,2017-08-01,1714,641.35,2355.35,16,141.15,12
cariacica,2017-09-01,2626,999.65,3625.65,25,220,22
cariacica,2017-10-01,2540,924.6,3464.6,25,222,20
cariacica,2017-11-01,1450,509.1,1959.1,14,119.525,13
cariacica,2017-12-01,914,324.08,1238.08,8,71.625,8
cariacica,2018-01-01,331,119.34,450.34,3,26.325,3
cariacica,2018-02-01,1185.9,526.26,1712.16,10,89.525,7
cariacica,2018-03-01,640,325.01,965.01,5,45.65,5
cariacica,2018-05-01,241,94.99,335.99,2,20,2
cariacica,2018-06-01,129.9,36.14,166.04,1,8.65,1
cariacica / es,2018-05-01,281.4,91.35,372.75,4,5.15,3
cariacica / es,2018-06-01,85.8,36.2,122,2,2.4,1
cariacica / es,2018-07-01,85.8,16.79,102.59,1,2.35,1
carmo da mata,2018-01-01,74.9,58.9,133.8,1,5.95,1
carmo do cajuru,2017-02-01,119.8,27.44,147.24,2,2.1,2
carmo do cajuru,2017-03-01,239.6,74.13,313.73,4,4.2,4
carmo do cajuru,2017-04-01,119.8,37.11,156.91,2,2.3,2
caruaru,2017-08-01,24.41,12.6,37.01,1,0.2,1
caruaru,2017-10-01,109.77,38.31,148.08,2,0.6,2
caruaru,2017-12-01,24.41,34.15,58.56,1,0.2,1
caruaru,2018-02-01,61.03,121.65,182.68,3,0.6,2
caruaru,2018-07-01,25.99,37.09,63.08,1,0.4,1
cascavael,2017-07-01,21.99,15.1,37.09,1,0.2,1
cascavel,2016-09-01,708.8,63.52,772.32,3,2.5,3
cascavel,2016-12-01,3665.78,249.95,3915.73,12,8.903,12
cascavel,2017-01-01,3832.19,263.15,4095.34,13,8.699,13
cascavel,2017-02-01,4260.48,317.52,4578,14,9.616,14
cascavel,2017-03-01,4274.31,265.11,4539.42,14,9.525,14
cascavel,2017-04-01,1547.7,116.18,1663.88,5,4.05,4
cascavel,2017-05-01,2735.76,203.94,2939.7,10,7.949,10
cascavel,2017-06-01,2439.72,221.37,2661.09,9,20.405,9
cascavel,2017-07-01,1423.55,216.57,1640.12,10,11.953,9
cascavel,2017-08-01,4021.7,275.37,4297.07,15,15.125,12
cascavel,2017-09-01,2502.9,372.53,2875.43,17,14.368,16
cascavel,2017-10-01,3567.53,785.26,4352.79,36,84.723,33
cascavel,2017-11-01,1102.49,314.27,1416.76,18,17.266,15
cascavel,2017-12-01,6582.27,833.27,7415.54,38,45.159,36
cascavel,2018-01-01,11028.6,1377.82,12406.42,57,112.506,55
cascavel,2018-02-01,7140.59,1452.88,8593.47,53,75.889,49
cascavel,2018-03-01,9737.67,1437.85,11175.52,49,68.196,47
cascavel,2018-04-01,8030.96,1155.17,9186.13,45,72.951,41
cascavel,2018-05-01,8018.34,945.83,8964.17,28,73.439,26
cascavel,2018-06-01,9773.84,1756.26,11530.1,53,97.85,51
cascavel,2018-07-01,4069.5,995.55,5065.05,33,48.1,32
castro,2017-01-01,1250,40.79,1290.79,1,6,1
castro,2017-02-01,4689.9,143.49,4833.39,4,26.5,4
castro,2017-03-01,154.7,61.28,215.98,4,1.05,3
castro,2017-04-01,25,12.48,37.48,1,0.1,1
castro,2017-05-01,1275,58.37,1333.37,2,6.1,2
castro,2017-09-01,189.05,18.89,207.94,1,15.4,1
castro,2017-10-01,9.4,34.15,43.55,1,0.5,1
castro,2017-11-01,119.8,30.34,150.14,2,0.3,1
castro,2017-12-01,1309.9,54.67,1364.57,2,6.2,2
castro,2018-03-01,59.9,18.3,78.2,1,0.15,1
castro,2018-04-01,205,61.34,266.34,1,1.25,1
castro,2018-07-01,59.9,18.52,78.42,1,0.15,1
castro pires,2018-04-01,334.99,24.92,359.91,1,2.15,1
cataguases,2018-02-01,760,283.82,1043.82,2,41.7,2
cataguases,2018-06-01,760,159.26,919.26,2,41.7,2
catanduva,2016-09-01,21.9,17.19,39.09,1,0.4,1
catanduva,2017-03-01,58.8,34.02,92.82,2,1.6,2
catanduva,2017-05-01,193.6,41.39,234.99,2,1.2,2
catanduva,2017-06-01,69.92,32.22,102.14,2,1.7,2
catanduva,2017-07-01,29.4,12.69,42.09,1,0.8,1
catanduva,2017-10-01,58.8,25.38,84.18,2,1.6,1
catanduva,2017-11-01,756.76,105.61,862.37,2,14.8,2
catanduva,2017-12-01,150,15.8,165.8,1,6.7,1
catanduva,2018-01-01,189.9,17.77,207.67,1,10.05,1
catanduva,2018-02-01,1213.2,138.32,1351.52,8,25.35,6
catanduva,2018-03-01,379.99,26.52,406.51,1,5.45,1
catanduva,2018-04-01,1149.59,149.5,1299.09,6,23.8,6
catanduva,2018-05-01,329.9,89.48,419.38,2,12,2
catanduva,2018-06-01,1276.49,135.88,1412.37,6,24.05,5
catanduva,2018-07-01,2116.2,206.91,2323.11,9,52.384,8
caucaia,2016-12-01,42.82,36,78.82,2,2.15,2
caucaia,2017-01-01,657.74,180.74,838.48,7,16,7
caucaia,2017-02-01,1092.12,277.25,1369.37,9,25.6,8
caucaia,2017-03-01,15.32,10.96,26.28,1,0.45,1
caucaia,2017-04-01,149.9,38.01,187.91,1,3.35,1
caucaia,2017-05-01,149.9,21.89,171.79,1,3.35,1
caucaia,2017-06-01,177.4,101.38,278.78,2,5.05,2
caucaia,2017-07-01,165.22,35.99,201.21,2,3.8,2
caucaia,2017-08-01,27.5,9.74,37.24,1,1.7,1
caucaia,2017-09-01,149.9,21.89,171.79,1,3.35,1
caucaia,2018-02-01,149.9,23.59,173.49,1,3.35,1
caxias do sul,2016-09-01,49.9,11.74,61.64,1,0.1,1
caxias do sul,2017-01-01,278.8,39.71,318.51,2,3,2
caxias do sul,2017-02-01,305.8,259.5,565.3,8,20.8,2
caxias do sul,2017-03-01,321.3,113.76,435.06,7,4.8,6
caxias do sul,2017-04-01,49.9,23.86,73.76,1,0.1,1
caxias do sul,2017-05-01,136.6,65.08,201.68,4,4.2,3
caxias do sul,2017-06-01,849.6,195.31,1044.91,5,11.3,5
caxias do sul,2017-07-01,69.9,35.81,105.71,1,0.85,1
caxias do sul,2017-08-01,790,28.33,818.33,1,8.5,1
caxias do sul,2017-09-01,65.2,30.2,95.4,2,4.6,1
caxias do sul,2017-10-01,4116.66,315.18,4431.84,11,59.1,10
caxias do sul,2017-11-01,4977.06,423.12,5400.18,13,76.8,12
caxias do sul,2017-12-01,7056.9,754.09,7810.99,12,148.9,12
caxias do sul,2018-01-01,3789.45,793.5,4582.95,19,135.5,15
caxias do sul,2018-02-01,8484.8,952.76,9437.56,16,109.3,16
caxias do sul,2018-03-01,4439.19,600.61,5039.8,23,58.095,22
caxias do sul,2018-04-01,2990.18,634.91,3625.09,21,36.999,18
caxias do sul,2018-05-01,10215.55,1136.68,11352.23,28,172.971,25
caxias do sul,2018-06-01,7480.89,1041.26,8522.15,25,138.403,25
caxias do sul,2018-07-01,7456.14,1267.86,8724,28,110.585,25
centro,2017-08-01,19.99,15.1,35.09,1,0.649,1
centro,2017-10-01,260.89,148.95,409.84,8,16.157,5
cerqueira cesar,2016-12-01,164.8,33.81,198.61,2,3.9,2
cerqueira cesar,2017-01-01,148.9,35.09,183.99,2,4.888,2
cerqueira cesar,2017-02-01,742.2,166.1,908.3,10,31.9,10
cerqueira cesar,2017-03-01,159,17.26,176.26,1,3.6,1
cerqueira cesar,2017-04-01,218.9,38.11,257.01,2,5.9,2
cerqueira cesar,2017-09-01,129,25.74,154.74,1,3.6,1
cerqueira cesar,2018-02-01,109.9,21.26,131.16,1,2.3,1
cerqueira cesar,2018-06-01,199,18.52,217.52,1,3,1
chapeco,2017-12-01,165.9,18.41,184.31,1,1.752,1
chapeco,2018-03-01,77.9,67.47,145.37,1,1.936,1
chapeco,2018-05-01,259,19.91,278.91,1,0.41,1
chapeco,2018-06-01,399,59.56,458.56,1,2.15,1
chapeco,2018-07-01,338.7,40.57,379.27,4,2.37,3
cianorte,2018-06-01,51.9,19.55,71.45,1,1.025,1
claudio,2016-12-01,168,50.02,218.02,6,25.2,1
claudio,2017-01-01,720.38,175.63,896.01,8,83.3,5
claudio,2017-02-01,404.71,304.77,709.48,13,76.95,7
claudio,2017-03-01,386.44,268.49,654.93,8,73.9,5
claudio,2017-04-01,883.25,575.3,1458.55,22,193,11
claudio,2017-05-01,277.2,307.18,584.38,13,55.9,6
claudio,2017-06-01,261,177.07,438.07,3,55.95,3
claudio,2017-07-01,234,184.82,418.82,6,56.55,4
claudio,2017-08-01,137.06,61.96,199.02,2,21.9,2
claudio,2017-09-01,631.23,269.49,900.72,5,51.4,4
claudio,2017-10-01,484.4,352.4,836.8,6,81.25,5
claudio,2017-11-01,351,456.96,807.96,6,72.9,5
claudio,2017-12-01,755.6,368.45,1124.05,11,91.85,9
claudio,2018-01-01,375.89,248.91,624.8,8,61.95,6
claudio,2018-02-01,454.5,271.07,725.57,7,75.8,6
claudio,2018-04-01,343.25,237.48,580.73,7,40,5
claudio,2018-05-01,655.91,193.88,849.79,7,29.25,5
claudio,2018-06-01,62.5,22.19,84.69,1,6.2,1
claudio,2018-07-01,235.34,50.75,286.09,2,4.1,2
clementina,2017-10-01,38.9,11.85,50.75,1,0.1,1
clementina,2018-01-01,38.9,25.63,64.53,1,0.1,1
clementina,2018-06-01,49,18.44,67.44,1,0.15,1
clementina,2018-07-01,97.5,31.44,128.94,2,0.15,2
colatina,2018-02-01,557.98,60.63,618.61,2,3.516,2
colatina,2018-03-01,98.79,52.72,151.51,2,2.644,2
colombo,2016-12-01,49.9,14.52,64.42,1,0.8,1
colombo,2017-03-01,1142,101.02,1243.02,5,2.505,5
colombo,2017-04-01,2563,236.92,2799.92,13,5.941,13
colombo,2017-05-01,757.89,52.99,810.88,3,0.85,3
colombo,2017-06-01,1172,116.08,1288.08,4,1.835,4
colombo,2017-07-01,2327,123.29,2450.29,7,3.513,7
colombo,2017-08-01,1216,53.46,1269.46,3,1.019,3
colombo,2017-09-01,2616,202.11,2818.11,10,3.47,10
colombo,2017-10-01,1471,210.04,1681.04,7,9.675,7
colombo,2017-11-01,2333.5,313.93,2647.43,18,11.564,16
colombo,2017-12-01,1675.8,238.5,1914.3,14,12.484,14
colombo,2018-01-01,2348.1,268.89,2616.99,16,8.946,13
colombo,2018-02-01,1782.1,257.06,2039.16,12,7.799,12
colombo,2018-03-01,2689.7,250.07,2939.77,10,4.361,10
colombo,2018-04-01,865,141.68,1006.68,5,1.53,5
colombo,2018-05-01,1941.8,224.81,2166.61,10,3.302,6
colombo,2018-06-01,1489,127.18,1616.18,5,2.873,5
colombo,2018-07-01,178,18.18,196.18,1,0.45,1
colorado,2017-03-01,99.89,14.87,114.76,1,0.2,1
colorado,2017-04-01,199.78,29.74,229.52,2,0.4,2
colorado,2017-07-01,43.99,15.1,59.09,1,0.7,1
colorado,2017-12-01,399.77,90.02,489.79,5,12.5,2
colorado,2018-03-01,119.99,22.55,142.54,1,0.5,1
conchal,2017-01-01,338.9,47.94,386.84,2,11,2
conchal,2017-02-01,169.9,18.48,188.38,1,5.8,1
conchal,2017-03-01,508.8,63.65,572.45,3,17.4,2
conchal,2017-06-01,518,220.81,738.81,2,60,2
conchal,2017-07-01,169.9,40.18,210.08,1,6.6,1
conchal,2017-08-01,169.9,31.94,201.84,1,15.1,1
conchal,2017-09-01,169.9,31.94,201.84,1,5.8,1
conchal,2017-11-01,489.9,78.98,568.88,2,18.75,2
conchal,2018-03-01,169.9,48.02,217.92,1,5.3,1
conchal,2018-06-01,123.99,70.99,194.98,3,2.467,3
conchal,2018-07-01,83.87,61.38,145.25,4,2.349,2
concordia,2017-01-01,142,21.07,163.07,1,3,1
concordia,2017-03-01,285,55.65,340.65,3,5.45,3
concordia,2017-04-01,349,60.77,409.77,2,12,2
concordia,2017-06-01,492,83.56,575.56,4,9.9,4
concordia,2017-07-01,455,82,537,3,12.8,3
concordia,2017-08-01,230,32.28,262.28,1,9.9,1
concordia,2017-09-01,137,23.83,160.83,1,1.45,1
concordia,2017-10-01,310,0.17,310.17,2,5.35,2
concordia,2017-12-01,112,18.03,130.03,1,1.75,1
concordia,2018-01-01,149,21.53,170.53,1,2.7,1
concordia,2018-02-01,389,37.7,426.7,1,12.5,1
concordia,2018-03-01,280,54.12,334.12,2,4.9,1
concordia,2018-05-01,153,47.37,200.37,1,5.9,1
concordia,2018-07-01,179,72.57,251.57,3,5.3,2
condor,2018-03-01,24.9,18.23,43.13,1,0.225,1
congonhal,2017-02-01,1364.8,61.32,1426.12,3,2.95,3
congonhal,2017-03-01,655.6,67.36,722.96,4,1.8,4
congonhal,2017-04-01,1879.9,141.42,2021.32,7,5.25,7
congonhal,2017-05-01,1592.85,156.12,1748.97,7,3.4,7
congonhal,2017-06-01,2113.17,134.83,2248,8,5.95,8
congonhal,2017-07-01,2987.18,161.44,3148.62,10,5.815,10
congonhal,2017-08-01,921.11,120.94,1042.05,7,2.806,7
congonhal,2017-09-01,875.05,86.98,962.03,6,3.6,6
congonhal,2017-10-01,878.7,186.57,1065.27,9,9,7
congonhal,2017-11-01,2836,247.59,3083.59,13,18.025,13
congonhal,2017-12-01,289,18.5,307.5,1,2.4,1
congonhal,2018-01-01,1184.45,81.27,1265.72,5,6.6,5
congonhal,2018-02-01,486.3,51.3,537.6,3,1.45,3
congonhal,2018-03-01,727.6,81.23,808.83,5,4.325,4
congonhal,2018-04-01,725.8,88.89,814.69,4,1.525,3
congonhal,2018-05-01,2698.7,347.69,3046.39,14,5.791,8
congonhal,2018-06-01,657,44.61,701.61,3,1.569,3
congonhas,2017-02-01,2166.97,114.36,2281.33,5,4.05,5
congonhas,2017-03-01,31.08,20.8,51.88,1,0.1,1
congonhas,2017-04-01,1092.67,107.81,1200.48,5,1.9,5
congonhas,2017-05-01,766.08,36.88,802.96,2,1.45,2
congonhas,2017-07-01,185.81,17.06,202.87,1,0.35,1
congonhas,2017-08-01,1333.02,116.47,1449.49,6,2.3,6
congonhas,2017-09-01,2112.43,96.27,2208.7,5,4,4
congonhas,2017-10-01,185.81,17.06,202.87,1,0.35,1
congonhas,2017-11-01,580.27,39.38,619.65,1,1.1,1
congonhas,2017-12-01,580.27,21.63,601.9,1,1.1,1
congonhas,2018-01-01,766.08,83.91,849.99,2,1.45,2
congonhas,2018-02-01,766.08,43.3,809.38,2,1.45,2
congonhas,2018-03-01,1346.35,118.57,1464.92,3,2.55,3
congonhas,2018-04-01,371.62,39.45,411.07,2,0.7,2
congonhas,2018-05-01,371.62,66.44,438.06,2,0.7,2
congonhas,2018-06-01,580.27,23.25,603.52,1,1.1,1
congonhas,2018-07-01,185.81,19.4,205.21,1,0.35,1
conselheiro lafaiete,2017-12-01,110,20.01,130.01,1,1.525,1
conselheiro lafaiete,2018-02-01,53.5,45.12,98.62,2,0.925,2
conselheiro lafaiete,2018-03-01,112,93.32,205.32,5,2.1,4
conselheiro lafaiete,2018-04-01,507,77.03,584.03,3,11.025,3
conselheiro lafaiete,2018-05-01,824,113.42,937.42,6,2.328,6
conselheiro lafaiete,2018-06-01,5128,790.02,5918.02,34,64.634,33
conselheiro lafaiete,2018-07-01,799,153.47,952.47,6,18.75,6
contagem,2017-03-01,107,32.8,139.8,2,4,2
contagem,2017-04-01,611.8,167.29,779.09,7,13.6,7
contagem,2017-05-01,464.7,81.75,546.45,4,3.45,4
contagem,2017-06-01,109.9,42.8,152.7,1,0.05,1
contagem,2017-07-01,259.8,23.15,282.95,2,0.15,2
contagem,2017-08-01,199.8,28.83,228.63,2,0.15,2
contagem,2017-09-01,329.8,50.46,380.26,4,1.15,3
contagem,2017-10-01,1302.7,138.63,1441.33,6,6.925,6
contagem,2017-11-01,338.8,61,399.8,3,3.317,3
contagem,2017-12-01,219.7,59.71,279.41,3,0.25,2
contagem,2018-01-01,822.9,122.66,945.56,6,2.7,5
contagem,2018-02-01,712.7,170.37,883.07,8,4.3,8
contagem,2018-03-01,777.49,207.53,985.02,12,4.15,11
contagem,2018-04-01,1764.36,359.6,2123.96,19,23,19
contagem,2018-05-01,3253.74,859.33,4113.07,25,75.72,24
contagem,2018-06-01,4553.07,881.96,5435.03,33,110.4,32
contagem,2018-07-01,5627.85,1165.16,6793.01,46,81.101,45
cordeiropolis,2017-04-01,5.99,16.05,22.04,1,0.1,1
cordeiropolis,2017-06-01,86.98,49.96,136.94,2,2.2,2
cordeiropolis,2017-07-01,36.49,15.1,51.59,1,0.8,1
cordilheira alta,2018-07-01,57.99,18.51,76.5,1,0.45,1
cornelio procopio,2016-12-01,657.8,201.34,859.14,12,28.183,8
cornelio procopio,2017-01-01,182.2,63.8,246,4,5.35,3
cornelio procopio,2017-02-01,67,15.68,82.68,1,0.7,1
cornelio procopio,2017-04-01,219.8,59.22,279.02,3,5.3,3
cornelio procopio,2017-05-01,215.8,55.9,271.7,3,6.6,3
cornelio procopio,2017-06-01,42.9,16.11,59.01,1,0.75,1
cornelio procopio,2017-07-01,119.8,30.38,150.18,2,2.9,2
cornelio procopio,2017-08-01,131.9,49.43,181.33,3,3,3
cornelio procopio,2017-09-01,86.9,33.15,120.05,2,1.55,2
cornelio procopio,2017-11-01,62.9,13.46,76.36,1,0.65,1
cornelio procopio,2017-12-01,42.9,16.11,59.01,1,0.75,1
cornelio procopio,2018-01-01,191.6,62.67,254.27,4,2.9,3
cornelio procopio,2018-02-01,403.2,120.45,523.65,7,10.85,5
cornelio procopio,2018-04-01,292.8,104.12,396.92,5,5.05,4
cornelio procopio,2018-05-01,201.7,55.04,256.74,3,3.075,2
cornelio procopio,2018-06-01,33.9,22.17,56.07,1,0.25,1
cornelio procopio,2018-07-01,72.9,19.7,92.6,1,0.65,1
coronel fabriciano,2017-06-01,139.9,17.42,157.32,1,0.1,1
coronel fabriciano,2017-07-01,419.7,50.57,470.27,3,0.25,3
coronel fabriciano,2017-08-01,787.4,111.45,898.85,6,1.2,6
coronel fabriciano,2017-09-01,559.6,83.66,643.26,4,0.2,3
coronel fabriciano,2018-01-01,443.6,63.12,506.72,4,6.715,4
coronel fabriciano,2018-02-01,1139.1,162.95,1302.05,9,17.444,6
coronel fabriciano,2018-03-01,539.8,65.08,604.88,3,5.813,3
coronel fabriciano,2018-05-01,459.7,80.92,540.62,3,5.467,2
coronel fabriciano,2018-06-01,389.9,43.98,433.88,2,0.75,2
coronel fabriciano,2018-07-01,999.3,166.48,1165.78,7,3.986,6
cosmopolis,2017-02-01,338,21.67,359.67,1,6.9,1
cosmopolis,2017-03-01,189,38.28,227.28,1,3.5,1
cosmopolis,2017-04-01,1785,239.05,2024.05,5,36.9,2
cosmopolis,2017-06-01,349,48.03,397.03,1,5.4,1
cosmopolis,2017-07-01,338,65.05,403.05,1,6.9,1
cosmopolis,2017-08-01,2410,311.41,2721.41,7,51.9,4
cosmopolis,2017-12-01,109,98.02,207.02,1,7.45,1
cosmopolis,2018-01-01,155,151.2,306.2,1,25,1
cotia,2017-01-01,419.08,105.71,524.79,8,8.65,7
cotia,2017-02-01,430.49,79.34,509.83,6,3.25,5
cotia,2017-03-01,408.8,41.76,450.56,3,1.65,3
cotia,2017-04-01,90.79,40.04,130.83,2,0.63,2
cotia,2017-05-01,110,24.1,134.1,2,9.8,2
cotia,2017-06-01,262.9,70,332.9,3,7.4,3
cotia,2017-07-01,491.9,97.15,589.05,3,18.3,3
cotia,2017-08-01,760.87,153.61,914.48,8,20.225,8
cotia,2017-09-01,813.07,177.65,990.72,8,27,7
cotia,2017-10-01,154.9,39.31,194.21,3,1.8,3
cotia,2017-11-01,1837.69,355.1,2192.79,16,62.23,16
cotia,2017-12-01,623.17,156.95,780.12,7,25.275,7
cotia,2018-01-01,1808.9,178.1,1987,12,15.284,12
cotia,2018-02-01,3470.22,367.97,3838.19,20,26.334,20
cotia,2018-03-01,5329.2,514.98,5844.18,28,47.647,28
cotia,2018-04-01,7111.54,416.89,7528.43,33,31.167,33
cotia,2018-05-01,1894.15,355.36,2249.51,25,13.624,20
cotia,2018-06-01,2357.85,205.05,2562.9,15,5.549,15
cotia,2018-07-01,3798.7,395.52,4194.22,30,10.708,26
coxim,2017-09-01,944.8,82.13,1026.93,4,12.425,4
coxim,2017-10-01,429.8,90.86,520.66,4,8.383,4
coxim,2017-12-01,714.7,126.76,841.46,5,16.608,5
coxim,2018-01-01,149.9,23.92,173.82,1,2.233,1
coxim,2018-04-01,259.8,94.27,354.07,2,4.55,2
coxim,2018-06-01,159.9,31.99,191.89,1,2.75,1
cravinhos,2018-03-01,138.6,38.37,176.97,3,0.9,1
criciuma,2017-07-01,249.99,55.42,305.41,1,0.35,1
criciuma,2017-10-01,1999,29.75,2028.75,1,0.525,1
criciuma,2017-11-01,499.98,71.92,571.9,2,0.7,2
criciuma,2017-12-01,569.88,67.29,637.17,3,0.875,3
criciuma,2018-01-01,299.79,49.05,348.84,3,1.266,3
criciuma,2018-02-01,1189.65,172.35,1362,8,3.949,8
criciuma,2018-03-01,569.97,99.03,669,3,2.15,3
criciuma,2018-04-01,459.78,78.84,538.62,4,2.25,4
criciuma,2018-05-01,229.89,38.39,268.28,2,0.775,2
criciuma,2018-06-01,557.98,87.23,645.21,3,7.05,3
criciuma,2018-07-01,873.99,194.33,1068.32,4,20.8,4
cruzeiro,2017-09-01,389.55,132,521.55,9,3.542,9
cruzeiro,2017-10-01,542.16,200.23,742.39,12,5.395,12
cruzeiro,2017-11-01,804.87,209.21,1014.08,14,7.108,14
cruzeiro,2017-12-01,148.5,72.25,220.75,5,1.375,5
cruzeiro,2018-01-01,431.5,134.25,565.75,7,4.173,7
cruzeiro,2018-02-01,175.5,73.07,248.57,5,1.975,5
cruzeiro,2018-03-01,604.38,135.61,739.99,7,6.564,7
cruzeiro,2018-04-01,701.72,175.69,877.41,10,8,8
cruzeiro,2018-05-01,963.35,306.1,1269.45,14,11.563,14
cruzeiro,2018-06-01,963.57,175.35,1138.92,8,8.7,8
cruzeiro,2018-07-01,546.88,82.93,629.81,4,4.7,4
cuiaba,2017-04-01,95.84,12.92,108.76,1,0.5,1
cuiaba,2017-06-01,89.9,38.18,128.08,1,1.3,1
cuiaba,2017-07-01,46.5,18.59,65.09,1,1.25,1
cuiaba,2017-08-01,169.15,67.69,236.84,3,2.3,3
cuiaba,2017-09-01,304.95,81.3,386.25,2,1.45,2
cuiaba,2017-10-01,358.6,112.11,470.71,4,4.15,4
cuiaba,2017-11-01,512.6,143.85,656.45,6,4.1,5
cuiaba,2017-12-01,1715.74,420.48,2136.22,19,23.9,15
cuiaba,2018-01-01,1096.44,310.72,1407.16,12,15.95,11
cuiaba,2018-02-01,1250.4,376.52,1626.92,12,36.575,11
cuiaba,2018-03-01,848.8,255.3,1104.1,8,25.15,8
cuiaba,2018-04-01,646.9,156.76,803.66,5,16.6,5
cuiaba,2018-05-01,917.6,203.37,1120.97,6,10.575,6
cuiaba,2018-06-01,394.8,112.21,507.01,5,8.15,5
cuiaba,2018-07-01,520,110.73,630.73,3,3.55,3
curitiba,2016-08-01,194.47,24.05,218.52,4,3.7,2
curitiba,2016-09-01,1807.55,360.93,2168.48,21,31.218,19
curitiba,2016-11-01,10.9,8.72,19.62,1,0.2,1
curitiba,2016-12-01,8738.98,1230.76,9969.74,76,186.456,67
curitiba,2017-01-01,11841.39,1287.36,13128.75,63,100.508,56
curitiba,2017-02-01,11377.46,1644.87,13022.33,84,141.802,75
curitiba,2017-03-01,8651.08,1317.96,9969.04,65,110.778,59
curitiba,2017-04-01,20433.03,2516.28,22949.31,117,206.753,109
curitiba,2017-05-01,13208.29,2081.98,15290.27,104,240.451,95
curitiba,2017-06-01,15271.96,2159.28,17431.24,104,191.4,97
curitiba,2017-07-01,15693.61,2295.85,17989.46,109,166.99,96
curitiba,2017-08-01,18360.51,2636.03,20996.54,114,270.174,106
curitiba,2017-09-01,18159.21,2505.41,20664.62,109,305.978,100
curitiba,2017-10-01,38490.62,5711.43,44202.05,234,631.502,204
curitiba,2017-11-01,28879.61,4492.41,33372.02,192,576.521,173
curitiba,2017-12-01,38960.64,5374.14,44334.78,234,608.856,208
curitiba,2018-01-01,37393.37,4894.66,42288.03,201,542.452,181
curitiba,2018-02-01,34780.34,5180.78,39961.12,221,457.922,195
curitiba,2018-03-01,34874.14,5402.66,40276.8,223,643.018,193
curitiba,2018-04-01,26512.02,4691.7,31203.72,170,510.013,158
curitiba,2018-05-01,28897.34,5372.85,34270.19,176,430.614,161
curitiba,2018-06-01,29447.83,5038.58,34486.41,181,450.521,166
curitiba,2018-07-01,28775.47,4887.33,33662.8,213,369.684,201
curitibanos,2017-01-01,199,75.82,274.82,1,8.45,1
curitibanos,2017-04-01,756,79.98,835.98,3,0.9,2
curitibanos,2017-06-01,25,15.1,40.1,1,1.15,1
curitibanos,2017-07-01,185,14.44,199.44,1,1.5,1
curitibanos,2017-08-01,309,31.66,340.66,2,0.8,2
curitibanos,2017-10-01,363.8,101.73,465.53,4,1.2,4
curitibanos,2017-11-01,384,59.46,443.46,2,0.65,2
curitibanos,2017-12-01,711,118.67,829.67,3,9.4,3
curitibanos,2018-01-01,132,42.95,174.95,1,0.3,1
curitibanos,2018-02-01,760,41.58,801.58,2,1.3,2
curitibanos,2018-03-01,1292.99,152.61,1445.6,4,1.3,4
descalvado,2016-09-01,119.9,15.01,134.91,1,0.3,1
descalvado,2016-12-01,139.99,22.91,162.9,1,0.7,1
descalvado,2017-05-01,389.98,46.52,436.5,2,6.6,2
descalvado,2017-08-01,74.99,12.86,87.85,1,1.483,1
descalvado,2017-09-01,99.99,21.19,121.18,1,6.5,1
descalvado,2017-10-01,727.99,42.64,770.63,2,9.1,2
descalvado,2017-11-01,129.99,16.67,146.66,1,0.7,1
descalvado,2018-03-01,469.96,77.28,547.24,4,23.35,3
descalvado,2018-06-01,239.98,59.14,299.12,2,1.4,2
descalvado,2018-07-01,827.99,68.6,896.59,2,9.2,2
diadema,2017-08-01,174,43.14,217.14,3,3.9,3
diadema,2017-09-01,129,16.54,145.54,2,1.438,2
diadema,2017-10-01,197,41.66,238.66,3,2.05,3
diadema,2017-11-01,76,26.95,102.95,2,0.5,2
diadema,2017-12-01,2060.34,263.32,2323.66,11,65.008,11
diadema,2018-01-01,2083.8,327,2410.8,16,44.768,11
diadema,2018-02-01,7726.56,555.23,8281.79,21,82.222,19
diadema,2018-03-01,9591.28,474.39,10065.67,22,51.108,22
diadema,2018-04-01,17725.31,718.52,18443.83,42,79.168,37
diadema,2018-05-01,15545.4,817.91,16363.31,39,40.105,38
diadema,2018-06-01,9998.16,579.67,10577.83,27,34.439,26
diadema,2018-07-01,2867.88,174.83,3042.71,12,8.03,11
divinopolis,2016-09-01,390,69.14,459.14,2,19.3,1
divinopolis,2016-12-01,444.99,77.64,522.63,2,25.3,2
divinopolis,2017-01-01,1925.9,205.74,2131.64,5,58.15,4
divinopolis,2017-02-01,837.9,197.93,1035.83,3,31.85,2
divinopolis,2017-03-01,776.9,70.42,847.32,3,22.6,3
divinopolis,2017-04-01,978.4,106.78,1085.18,4,19.9,4
divinopolis,2017-05-01,642,101.56,743.56,2,23,1
divinopolis,2017-07-01,3139.39,597.82,3737.21,7,117.45,4
divinopolis,2017-08-01,574.88,130.37,705.25,4,29.55,4
divinopolis,2017-09-01,2914.49,472.68,3387.17,10,119.3,8
divinopolis,2017-10-01,157.4,49.21,206.61,2,5.625,2
